prodcode	dmdcode	gemscriptcode	drugissues	productname	drugsubstancename	substancestrength	formulation	routeofadministration	bnfchapter	bnftext	firstbuild	termfromemis
66259	32272011000001102	62409021	4168	Elvanse 40mg capsules (Takeda UK Ltd)	Lisdexamfetamine dimesylate	40mg	Capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	June 2016	
55987	426493003	11065020	11872	Lisdexamfetamine 30mg capsules	Lisdexamfetamine dimesylate	30mg	Capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	August 2013	
78516	15846611000001100	36615020	8	Adderall XR 20mg capsules (Imported (United States))	Dexamfetamine/Amfetamine	10mg + 10mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	November 2019	
31623	7703311000001106	90729020	12	Dexedrine 15mg Spansules (Imported (United States))	Dexamfetamine sulfate	15mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
47481	13453711000001104	96140020	20	Dexamfetamine 10mg modified-release capsules	Dexamfetamine sulfate	10mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	July 2012	
65067	29762011000001109	52353021	594	Elvanse Adult 30mg capsules (Takeda UK Ltd)	Lisdexamfetamine dimesylate	30mg	Capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	December 2015	
76609	11717711000001103	29831020	1	Dexamfetamine 2.5mg/5ml oral suspension	Dexamfetamine sulfate	500microgram/1ml	Oral suspension	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	June 2019	
24116	54675001000027105	54858020	23	Durophet 12.5mg Capsule (3M Health Care Ltd)	Amfetamine/Dexamfetamine Sulphate	12.5mg	Capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
55495	109445001000027107	62366020	8	Dexamfetamine with amfetamine 10mg with 10mg capsules	Amfetamine/Dexamfetamine Sulphate				04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	June 2013	
26729	176015001000027108	06142007	1	DEXAMPHETAMINE SULPHATE TAB					00000000	Unknown	February 2009	
68699	33595811000001106	71054021	2144	Dexamfetamine 10mg tablets	Dexamfetamine sulfate	10mg	Tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	January 2017	
