prodcodeid	dmdid	termfromemis	productname	formulation	routeofadministration	drugsubstancename	substancestrength	bnfchapter	drugissues
898841000033117	323353008	Methylphenidate 10mg tablets							600000
1177041000033113	38211000001100	Ritalin 10mg tablets (InfectoPharm Arzneimittel und Consilium GmbH)	Ritalin 10mg tablets	Tablet	Oral	Methylphenidate hydrochloride	10.000mg		200000
2097741000033111	323358004	Methylphenidate 5mg tablets							300000
2097841000033118	323359007	Methylphenidate 20mg tablets							80000
2098041000033112	377011000001109	Equasym 5mg tablets (Shire Pharmaceuticals Ltd)	Equasym 5mg tablets	Tablet	Oral	Methylphenidate hydrochloride	5.000mg		20000
2098141000033111	172011000001102	Equasym 10mg tablets (Shire Pharmaceuticals Ltd)	Equasym 10mg tablets	Tablet	Oral	Methylphenidate hydrochloride	10.000mg		10000
2098241000033116	758611000001100	Equasym 20mg tablets (Shire Pharmaceuticals Ltd)	Equasym 20mg tablets	Tablet	Oral	Methylphenidate hydrochloride	20.000mg		3000
2656141000033112	36124011000001108	Methylphenidate 20mg modified-release capsules	Methylphenidate 20mg modified-release capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	20.000mg	04040000	50000
2656241000033117	9098811000001104	Equasym XL 20mg capsules (Takeda UK Ltd)	Equasym XL 20mg capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	20.000mg		300000
2717441000033118	8572511000001108	Ritalin-SR 20mg tablets (Imported (United States))	Ritalin-SR 20mg tablets	Modified-release tablet		Methylphenidate hydrochloride	20.000mg		3000
2722641000033112	36123511000001103	Methylphenidate 18mg modified-release tablets	Methylphenidate 18mg modified-release tablets	Modified-release tablet	Oral	Methylphenidate hydrochloride	18.000mg	04040000	200000
2722741000033115	711211000001101	Concerta XL 18mg tablets (Janssen-Cilag Ltd)	Concerta XL 18mg tablets	Modified-release tablet	Oral	Methylphenidate hydrochloride	18.000mg		400000
2722841000033113	36124511000001100	Methylphenidate 36mg modified-release tablets	Methylphenidate 36mg modified-release tablets	Modified-release tablet	Oral	Methylphenidate hydrochloride	36.000mg	04040000	200000
2722941000033117	615611000001106	Concerta XL 36mg tablets (Janssen-Cilag Ltd)	Concerta XL 36mg tablets	Modified-release tablet	Oral	Methylphenidate hydrochloride	36.000mg		600000
2760241000033119	77611000001100	Tranquilyn 5mg tablets (Genesis Pharmaceuticals Ltd)	Tranquilyn 5mg tablets	Tablet	Oral	Methylphenidate hydrochloride	5.000mg		1000
2760341000033112	205811000001105	Tranquilyn 10mg tablets (Genesis Pharmaceuticals Ltd)	Tranquilyn 10mg tablets	Tablet	Oral	Methylphenidate hydrochloride	10.000mg		1000
2760441000033118	410411000001103	Tranquilyn 20mg tablets (Genesis Pharmaceuticals Ltd)	Tranquilyn 20mg tablets	Tablet	Oral	Methylphenidate hydrochloride	20.000mg		500
2926941000033112	36124111000001109	Methylphenidate 20mg modified-release tablets	Methylphenidate 20mg modified-release tablets	Modified-release tablet	Oral	Methylphenidate hydrochloride	20.000mg	04040000	2000
3267841000033119	36123411000001102	Methylphenidate 10mg modified-release capsules	Methylphenidate 10mg modified-release capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	10.000mg	04040000	30000
3267941000033110	36124311000001106	Methylphenidate 30mg modified-release capsules	Methylphenidate 30mg modified-release capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	30.000mg	04040000	50000
3268041000033113	9098511000001102	Equasym XL 10mg capsules (Takeda UK Ltd)	Equasym XL 10mg capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	10.000mg		100000
3268141000033112	9099511000001108	Equasym XL 30mg capsules (Takeda UK Ltd)	Equasym XL 30mg capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	30.000mg		300000
4019941000033111	36124211000001103	Methylphenidate 27mg modified-release tablets	Methylphenidate 27mg modified-release tablets	Modified-release tablet	Oral	Methylphenidate hydrochloride	27.000mg	04040000	80000
4020041000033114		Concerta  M/R tablets  27 mg							40
4088741000033119	11273111000001108	Medikinet 5mg tablets (Medice UK Ltd)	Medikinet 5mg tablets	Tablet	Oral	Methylphenidate hydrochloride	5.000mg		40000
4088841000033112	11273311000001105	Medikinet 10mg tablets (Medice UK Ltd)	Medikinet 10mg tablets	Tablet	Oral	Methylphenidate hydrochloride	10.000mg		40000
4088941000033116	11273511000001104	Medikinet 20mg tablets (Medice UK Ltd)	Medikinet 20mg tablets	Tablet	Oral	Methylphenidate hydrochloride	20.000mg		10000
4089041000033113	36124611000001101	Methylphenidate 40mg modified-release capsules	Methylphenidate 40mg modified-release capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	40.000mg	04040000	20000
4089141000033112	11274111000001105	Medikinet XL 10mg capsules (Medice UK Ltd)	Medikinet XL 10mg capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	10.000mg		100000
