prodcode	dmdcode	gemscriptcode	drugissues	productname	drugsubstancename	substancestrength	formulation	routeofadministration	bnfchapter	bnftext	firstbuild	termfromemis
23161	77611000001100	77514020	170	Tranquilyn 5mg tablets (Genesis Pharmaceuticals Ltd)	Methylphenidate hydrochloride	5mg	Tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
14331	9099511000001108	88952020	85483	Equasym XL 30mg capsules (Takeda UK Ltd)	Methylphenidate hydrochloride	30mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
61144	24501711000001102	26636021	2810	Medikinet XL 60mg capsules (Flynn Pharma Ltd)	Methylphenidate hydrochloride	60mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	September 2014	
80435	37387611000001106	88597021	0	Concerta XL 18mg tablets (CST Pharma Ltd)	Methylphenidate hydrochloride	18mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	April 2020	
36910	11273511000001104	93313020	4624	Medikinet 20mg tablets (Flynn Pharma Ltd)	Methylphenidate hydrochloride	20mg	Tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
78032	12140311000001102	31018020	18	Methylphenidate 20mg/5ml oral solution	Methylphenidate hydrochloride	4mg/1ml	Oral solution	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	September 2019	
2679	38211000001100	79301020	78380	Ritalin 10mg tablets (Novartis Pharmaceuticals UK Ltd)	Methylphenidate hydrochloride	10mg	Tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
63874	27786011000001102	31399021	4559	Xenidate XL 18mg tablets (Viatris UK Healthcare Ltd)	Methylphenidate hydrochloride	18mg	Modified-release tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	July 2015	
69151	15411411000001105	36245020	8	Methylphenidate 15mg/5ml oral solution	Methylphenidate hydrochloride	3mg/1ml	Oral solution	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	April 2017	
37237	11273311000001105	93311020	9793	Medikinet 10mg tablets (Flynn Pharma Ltd)	Methylphenidate hydrochloride	10mg	Tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
13946	172011000001102	81150020	7715	Equasym 10mg tablets (Shire Pharmaceuticals Ltd)	Methylphenidate hydrochloride	10mg	Tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
37658	11274711000001106	93327020	26682	Medikinet XL 40mg capsules (Flynn Pharma Ltd)	Methylphenidate hydrochloride	40mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
